x,row names,Fine_habitat,Habitat,Habitat_color,Color_family,Color_superfamily,Water,Water_color,Inc_brackish,IB_color,Mouth_type,mouth_color
Tetraodontidae_Torquigener_hicksii_EPLATE_52_C11,Tetraodontidae_Torquigener_hicksii_EPLATE_52_C11,nonreef,nonreef,grey,forestgreen,#3A0CA3,marine,red,marine,red,beak,blue
Tetraodontidae_Torquigener_parcuspinus_EPLATE_51_E07,Tetraodontidae_Torquigener_parcuspinus_EPLATE_51_E07,nonreef,nonreef,grey,forestgreen,#3A0CA3,marine,red,marine,red,beak,blue
Tetraodontidae_Torquigener_pleurogramma_T0090,Tetraodontidae_Torquigener_pleurogramma_T0090,nonreef,nonreef,grey,forestgreen,#3A0CA3,marine,red,brackish,blue,beak,blue
Tetraodontidae_Tylerius_spinosissimus_T0091,Tetraodontidae_Tylerius_spinosissimus_T0091,nonreef,nonreef,grey,forestgreen,#3A0CA3,marine,red,marine,red,beak,blue
Triacanthidae_Pseudotriacanthus_strigilifer_EPLATE_51_F11,Triacanthidae_Pseudotriacanthus_strigilifer_EPLATE_51_F11,nonreef,nonreef,grey,lightgreen,#4CC9F0,marine,red,,,nonbeak,orange
Triacanthidae_Triacanthus_biaculeatus_T0061,Triacanthidae_Triacanthus_biaculeatus_T0061,nonreef,nonreef,grey,lightgreen,#4CC9F0,marine,red,,,nonbeak,orange
Triacanthidae_Triacanthus_nieuhofi_EPLATE_51_E11,Triacanthidae_Triacanthus_nieuhofi_EPLATE_51_E11,nonreef,nonreef,grey,lightgreen,#4CC9F0,marine,red,,,nonbeak,orange
Triacanthidae_Tripodichthys_blochii_EPLATE_40_C09,Triacanthidae_Tripodichthys_blochii_EPLATE_40_C09,nonreef,nonreef,grey,lightgreen,#4CC9F0,marine,red,,,nonbeak,orange
Triacanthidae_Trixiphichthys_weberi_T0063,Triacanthidae_Trixiphichthys_weberi_T0063,nonreef,nonreef,grey,lightgreen,#4CC9F0,marine,red,,,nonbeak,orange
Triacanthodidae_Atrophacanthus_sp_EPLATE_33_F09,Triacanthodidae_Atrophacanthus_sp_EPLATE_33_F09,nonreef,nonreef,grey,salmon4,#4CC9F0,marine,red,,,nonbeak,orange
Triacanthodidae_Halimochirurgus_alcocki_T0094,Triacanthodidae_Halimochirurgus_alcocki_T0094,nonreef,nonreef,grey,salmon4,#4CC9F0,marine,red,,,nonbeak,orange
Triacanthodidae_Halimochirurgus_centriscoides_53A04,Triacanthodidae_Halimochirurgus_centriscoides_53A04,nonreef,nonreef,grey,salmon4,#4CC9F0,marine,red,,,nonbeak,orange
Triacanthodidae_Halimochirurgus_platycheilus_EPLATE_53_H03,Triacanthodidae_Halimochirurgus_platycheilus_EPLATE_53_H03,nonreef,nonreef,grey,salmon4,#4CC9F0,marine,red,,,nonbeak,orange
Triacanthodidae_Hollardia_hollardia_Vims40109,Triacanthodidae_Hollardia_hollardia_Vims40109,nonreef,nonreef,grey,salmon4,#4CC9F0,marine,red,,,nonbeak,orange
Triacanthodidae_Hollardia_meadi_USNMAG9RL06,Triacanthodidae_Hollardia_meadi_USNMAG9RL06,nonreef,nonreef,grey,salmon4,#4CC9F0,marine,red,,,nonbeak,orange
Triacanthodidae_Parahollardia_lineata_Vims40107,Triacanthodidae_Parahollardia_lineata_Vims40107,nonreef,nonreef,grey,salmon4,#4CC9F0,marine,red,,,nonbeak,orange
Triacanthodidae_Paratriacanthodes_retrospinis_EPLATE_53_B04,Triacanthodidae_Paratriacanthodes_retrospinis_EPLATE_53_B04,nonreef,nonreef,grey,salmon4,#4CC9F0,marine,red,,,nonbeak,orange
Triacanthodidae_Triacanthodes_anomalus_T0059,Triacanthodidae_Triacanthodes_anomalus_T0059,nonreef,nonreef,grey,salmon4,#4CC9F0,marine,red,,,nonbeak,orange
Triacanthodidae_Triacanthodes_ethiops_T0060,Triacanthodidae_Triacanthodes_ethiops_T0060,nonreef,nonreef,grey,salmon4,#4CC9F0,marine,red,,,nonbeak,orange
Triacanthodidae_Triacanthodes_sp1_EPLATE_53_C04,Triacanthodidae_Triacanthodes_sp1_EPLATE_53_C04,nonreef,nonreef,grey,salmon4,#4CC9F0,marine,red,,,nonbeak,orange
Triacanthodidae_Tydemania_navigatoris_T0096,Triacanthodidae_Tydemania_navigatoris_T0096,nonreef,nonreef,grey,salmon4,#4CC9F0,marine,red,,,nonbeak,orange
Triodontidae_Triodon_macropterus_T0062,Triodontidae_Triodon_macropterus_T0062,nonreef,nonreef,grey,midnightblue,#F72585,marine,red,,,beak,blue
